epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
70;3466.31;1.17029;0.8533;0.96581;0.53569;0.46623;0.48123;0.28666;1.54179;1.48191;1.69513;0.000132828;0.000132828;0.000132828
71;3515.84;1.1503;0.85218;0.96727;0.52752;0.45904;0.47009;0.27947;1.55675;ÿםג.73;1.63931;0.000121579;0.000121579;0.000121579
72;3560.74;1.12982;0.81714;0.9615;0.53035;0.47222;0.48235;0.28775;1.51724;1.38864;1.71951;0.00011033;0.00011033;0.00011033
73;3604.9;1.12052;0.80082;0.96353;0.5341;0.50153;0.49013;0.29435;1.48659;1.30529;1.65439;9.9081e-05;9.9081e-05;9.9081e-05
74;3651.55;1.10617;0.79015;0.94987;0.57317;0.46324;0.48531;0.29558;1.56217;ÿםג.61;1.67622;8.78321e-05;8.78321e-05;8.78321e-05
75;3695.72;1.09905;0.77261;0.94062;0.53766;0.4936;0.48981;0.28924;1.55206;1.39617;1.70415;7.65832e-05;7.65832e-05;7.65832e-05
76;3740.56;1.09079;0.77843;0.94729;0.56073;0.48611;0.48673;0.30094;1.56685;1.40048;1.76711;6.53344e-05;6.53344e-05;6.53344e-05
77;3785.28;1.08631;0.77619;0.95335;0.56364;0.48994;0.48931;0.30026;1.53077;1.45812;1.74346;5.40855e-05;5.40855e-05;5.40855e-05
78;3832.53;1.07068;0.76496;0.9306;0.60616;0.4568;0.48058;0.29739;1.53962;1.39929;1.72042;4.28366e-05;4.28366e-05;4.28366e-05
79;3878.37;1.06609;0.75389;0.93703;0.79904;0.46306;0.47962;0.29752;1.56456;1.43121;1.71948;3.15878e-05;3.15878e-05;3.15878e-05
80;3922.75;1.05606;0.75041;0.9376;0.52722;0.48496;0.48319;0.29572;1.57311;1.43944;1.73811;2.03389e-05;2.03389e-05;2.03389e-05
